id,pergunta,dados,alteracao,resultado,decisao,artefato,origem
E01,peak_pos antecipa informacao futura?,D0+D1 brutos,auditoria de causalidade,0 inconsistencias nas 50.855 continuacoes auditadas,manter construcao causal,resultados/auditoria_integridade/resumo.json,historico anterior a R1
E02,Como tratar reentradas?,D0+D1,passagens e indicador de reentrada,regra de hiato implementada e auditada,manter regra e distinguir passagem de estreia da carreira,construir_base.py; documentacao/PLANO_RECEBIDO.md,registro herdado do plano
E03,Qual limiar de hiato usar?,D0+D1 conforme plano recebido,14/28/56 dias,28 dias mantidos no plano anterior,preservar; recuperar artefato quantitativo original para o diario final,documentacao/PLANO_RECEBIDO.md,herdado; artefato bruto nao localizado
E04,A proporcao do alvo muda?,D0/D1,comparacao temporal descritiva,0.3616 -> 0.3130,priorizar MCC/F1/PR-AUC,resultados/aed_drift/resumo_base.csv,recalculado em R1
E05-R1,Qual MLP generaliza melhor nos folds corrigidos?,D0,12 configuracoes; embargo sete dias; teto 800; seed 42,"32 neuronios, alpha=0.01, lr=0.003; MCC=0.3213",usar configuracao revisada,modelos/busca_completa.json,executado em R1
E06-R1,100 epocas truncam o treinamento?,D0,100 vs 800; quatro folds e tres seeds,7/12 convergiram com 100; 12/12 com 800; maximo observado 171,manter teto revisado e parada pela perda; convergencia nao garante melhor MCC,resultados/convergencia/diagnostico.csv,executado em R1
E07-R1,Como atualizar a MLP revisada?,D0 para M0; D1a/D1b para FT,tres taxas/regularizacoes relativas a M0; 0-30 epocas; tres seeds,"B_lr_original, 1 epoca(s), MCC=0.2120, ganho=0.0218",substituir as 11 epocas antigas pela escolha revisada,modelos/curvas_finetuning.csv,executado em R1
E08-R1,L2 forte melhora a atualizacao?,D1a/D1b,"configuracao C, alpha=1.0; integrada ao E07-R1",melhor MCC medio C=0.2061,nao selecionada; nao contar como execucao independente de E07-R1,modelos/curvas_finetuning.csv,analise de E07-R1
E09-R1,A regressao propria continua equivalente com embargo?,D0,repetir seis configuracoes e comparacao NumPy/sklearn,MCC=0.2949; concordancia de classes 100%,"manter taxa 1, pesos balanceados",resultados/regressao_logistica/resumo.json,executado em R1
E10-R1,Como Gradient Boosting se compara as outras familias?,D0,16 configuracoes com embargo; comparacao tres seeds para MLP/GB,Gradient Boosting: MCC=0.3542; MLP: MCC=0.3134; Logistica do zero: MCC=0.2949,GB como baseline; MLP permanece principal para atualizacao,resultados/gradient_boosting/protocolo.json,executado em R1
E11,Quais atributos mudaram entre os periodos?,D0/D1,"PSI, KS, Wasserstein e Jensen-Shannon; estatisticas descritivas","maior PSI em digital_rank; queda de 4,86 pontos percentuais no alvo",mudanca de distribuicao documentada; nao afirmar concept drift ou causalidade,resultados/aed_drift/drift_d0_d1.csv,executado em R1
